date,time_slot,depot_name,total_trains_available,trains_in_service,trains_under_maintenance,ready_for_induction,average_turnaround_time_min,energy_consumption_kwh,fault_probability
2025-10-01,05:30:00,Aluva Depot,10,4,3,3,22,482,0.0426
2025-10-01,05:30:00,Muttom Yard,25,10,3,12,20,253,0.044
2025-10-01,05:45:00,Aluva Depot,10,4,1,5,16,433,0.0144
2025-10-01,05:45:00,Muttom Yard,25,10,1,14,22,410,0.0407
2025-10-01,06:00:00,Aluva Depot,10,4,1,5,15,490,0.022
2025-10-01,06:00:00,Muttom Yard,25,10,3,12,16,312,0.0437
2025-10-01,06:15:00,Aluva Depot,10,4,1,5,24,415,0.0376
2025-10-01,06:15:00,Muttom Yard,25,10,3,12,20,445,0.0146
2025-10-01,06:30:00,Aluva Depot,10,4,3,3,21,221,0.013
2025-10-01,06:30:00,Muttom Yard,25,10,3,12,19,342,0.0134
2025-10-01,06:45:00,Aluva Depot,10,4,1,5,15,452,0.0147
2025-10-01,06:45:00,Muttom Yard,25,10,1,14,20,421,0.0422
2025-10-01,07:00:00,Aluva Depot,10,4,1,5,22,459,0.0119
2025-10-01,07:00:00,Muttom Yard,25,10,2,13,24,392,0.0462
2025-10-01,07:15:00,Aluva Depot,10,4,3,3,15,388,0.0149
2025-10-01,07:15:00,Muttom Yard,25,10,3,12,24,386,0.0323
2025-10-01,07:30:00,Aluva Depot,10,4,3,3,21,356,0.0389
2025-10-01,07:30:00,Muttom Yard,25,10,1,14,17,314,0.0346
2025-10-01,07:45:00,Aluva Depot,10,4,1,5,16,395,0.0192
2025-10-01,07:45:00,Muttom Yard,25,10,2,13,24,307,0.0148
2025-10-01,08:00:00,Aluva Depot,10,8,1,1,23,353,0.0356
2025-10-01,08:00:00,Muttom Yard,25,20,2,3,18,278,0.0165
2025-10-01,08:15:00,Aluva Depot,10,8,2,0,17,371,0.0251
2025-10-01,08:15:00,Muttom Yard,25,20,1,4,19,383,0.0349
2025-10-01,08:30:00,Aluva Depot,10,8,3,0,16,328,0.0127
2025-10-01,08:30:00,Muttom Yard,25,20,1,4,22,450,0.0301
2025-10-01,08:45:00,Aluva Depot,10,8,1,1,23,341,0.0147
2025-10-01,08:45:00,Muttom Yard,25,20,1,4,24,442,0.0123
2025-10-01,09:00:00,Aluva Depot,10,8,1,1,22,291,0.0185
2025-10-01,09:00:00,Muttom Yard,25,20,1,4,18,368,0.0409
2025-10-01,09:15:00,Aluva Depot,10,8,2,0,19,380,0.0199
2025-10-01,09:15:00,Muttom Yard,25,20,2,3,17,328,0.0115
2025-10-01,09:30:00,Aluva Depot,10,8,3,0,20,303,0.0474
2025-10-01,09:30:00,Muttom Yard,25,20,2,3,19,372,0.0306
2025-10-01,09:45:00,Aluva Depot,10,8,1,1,22,259,0.0416
2025-10-01,09:45:00,Muttom Yard,25,20,2,3,24,424,0.0403
2025-10-01,10:00:00,Aluva Depot,10,8,1,1,21,467,0.0298
2025-10-01,10:00:00,Muttom Yard,25,20,3,2,17,442,0.0146
2025-10-01,10:15:00,Aluva Depot,10,8,3,0,21,427,0.0296
2025-10-01,10:15:00,Muttom Yard,25,20,3,2,22,327,0.039
2025-10-01,10:30:00,Aluva Depot,10,8,1,1,16,456,0.0403
2025-10-01,10:30:00,Muttom Yard,25,20,2,3,16,247,0.0379
2025-10-01,10:45:00,Aluva Depot,10,8,2,0,24,452,0.01
2025-10-01,10:45:00,Muttom Yard,25,20,3,2,22,285,0.0149
2025-10-01,11:00:00,Aluva Depot,10,8,1,1,19,414,0.0191
2025-10-01,11:00:00,Muttom Yard,25,20,1,4,23,232,0.0252
2025-10-01,11:15:00,Aluva Depot,10,8,1,1,22,412,0.0116
2025-10-01,11:15:00,Muttom Yard,25,20,2,3,20,402,0.0105
