date,time_slot,entry_count,day_type,required_trains,optimized_headway_min,Aluva Depot,Muttom Yard,depot_action
2025-10-01,05:30:00,1937,Weekday,4,15.0,3.0,12.0,Induct from Muttom Yard
2025-10-01,05:45:00,1911,Weekday,4,15.0,5.0,14.0,Induct from Muttom Yard
2025-10-01,06:00:00,1777,Weekday,4,15.0,5.0,12.0,Induct from Muttom Yard
2025-10-01,06:15:00,1758,Weekday,4,15.0,5.0,12.0,Induct from Muttom Yard
2025-10-01,06:30:00,1786,Weekday,4,15.0,3.0,12.0,Induct from Muttom Yard
2025-10-01,06:45:00,1926,Weekday,4,15.0,5.0,14.0,Induct from Muttom Yard
2025-10-01,07:00:00,1815,Weekday,4,15.0,5.0,13.0,Induct from Muttom Yard
2025-10-01,07:15:00,1617,Weekday,4,15.0,3.0,12.0,Induct from Muttom Yard
2025-10-01,07:30:00,1783,Weekday,4,15.0,3.0,14.0,Induct from Muttom Yard
2025-10-01,07:45:00,1696,Weekday,4,15.0,5.0,13.0,Induct from Muttom Yard
2025-10-01,08:00:00,5203,Weekday,7,8.571428571428571,1.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,08:15:00,5591,Weekday,7,8.571428571428571,0.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,08:30:00,4737,Weekday,6,10.0,0.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,08:45:00,4932,Weekday,6,10.0,1.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,09:00:00,5142,Weekday,7,8.571428571428571,1.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,09:15:00,4780,Weekday,6,10.0,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,09:30:00,5627,Weekday,7,8.571428571428571,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,09:45:00,4806,Weekday,6,10.0,1.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,10:00:00,5462,Weekday,7,8.571428571428571,1.0,2.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,10:15:00,5508,Weekday,7,8.571428571428571,0.0,2.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,10:30:00,4959,Weekday,6,10.0,1.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,10:45:00,5680,Weekday,7,8.571428571428571,0.0,2.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,11:00:00,4566,Weekday,6,10.0,1.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,11:15:00,5677,Weekday,7,8.571428571428571,1.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,11:30:00,4908,Weekday,6,10.0,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,11:45:00,5440,Weekday,7,8.571428571428571,0.0,2.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,12:00:00,1630,Weekday,4,15.0,4.0,12.0,Induct from Muttom Yard
2025-10-01,12:15:00,1686,Weekday,4,15.0,3.0,12.0,Induct from Muttom Yard
2025-10-01,12:30:00,1944,Weekday,4,15.0,5.0,13.0,Induct from Muttom Yard
2025-10-01,12:45:00,1536,Weekday,4,15.0,5.0,14.0,Induct from Muttom Yard
2025-10-01,13:00:00,1850,Weekday,4,15.0,5.0,13.0,Induct from Muttom Yard
2025-10-01,13:15:00,1580,Weekday,4,15.0,4.0,13.0,Induct from Muttom Yard
2025-10-01,13:30:00,1644,Weekday,4,15.0,3.0,14.0,Induct from Muttom Yard
2025-10-01,13:45:00,1528,Weekday,4,15.0,5.0,12.0,Induct from Muttom Yard
2025-10-01,14:00:00,1793,Weekday,4,15.0,4.0,12.0,Induct from Muttom Yard
2025-10-01,14:15:00,1471,Weekday,4,15.0,5.0,13.0,Induct from Muttom Yard
2025-10-01,14:30:00,1676,Weekday,4,15.0,4.0,14.0,Induct from Muttom Yard
2025-10-01,14:45:00,1708,Weekday,4,15.0,4.0,14.0,Induct from Muttom Yard
2025-10-01,15:00:00,1665,Weekday,4,15.0,4.0,12.0,Induct from Muttom Yard
2025-10-01,15:15:00,1753,Weekday,4,15.0,5.0,13.0,Induct from Muttom Yard
2025-10-01,15:30:00,1718,Weekday,4,15.0,5.0,14.0,Induct from Muttom Yard
2025-10-01,15:45:00,1528,Weekday,4,15.0,3.0,14.0,Induct from Muttom Yard
2025-10-01,16:00:00,1622,Weekday,4,15.0,5.0,12.0,Induct from Muttom Yard
2025-10-01,16:15:00,1740,Weekday,4,15.0,3.0,13.0,Induct from Muttom Yard
2025-10-01,16:30:00,1585,Weekday,4,15.0,4.0,14.0,Induct from Muttom Yard
2025-10-01,16:45:00,1766,Weekday,4,15.0,5.0,12.0,Induct from Muttom Yard
2025-10-01,17:00:00,5170,Weekday,7,8.571428571428571,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,17:15:00,4307,Weekday,6,10.0,0.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,17:30:00,4974,Weekday,6,10.0,1.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,17:45:00,4931,Weekday,6,10.0,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,18:00:00,5430,Weekday,7,8.571428571428571,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,18:15:00,4763,Weekday,6,10.0,1.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,18:30:00,4969,Weekday,6,10.0,1.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,18:45:00,5335,Weekday,7,8.571428571428571,0.0,3.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,19:00:00,5281,Weekday,7,8.571428571428571,1.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,19:15:00,4310,Weekday,6,10.0,1.0,2.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,19:30:00,4909,Weekday,6,10.0,0.0,4.0,Alert: Insufficient Ready Trains - Maintenance Override Required
2025-10-01,19:45:00,5577,Weekday,7,8.571428571428571,0.0,2.0,Alert: Insufficient Ready Trains - Maintenance Override Required
